"PID","Sale_Price"
910251050,64816.1843141735
903454090,134483.321301001
528253010,202572.660691398
527183060,230222.84965709
907135180,123586.633050993
906380110,223664.128241828
907192020,184626.824388413
902402150,76769.016318061
909276170,177654.264622549
906412010,376315.930563521
905452140,141395.424138821
531376030,187907.872233684
534277070,118155.657965363
910202060,118339.349048124
906226080,138423.883676544
903231090,140660.984842149
527359010,182323.484686266
923228370,88955.9193510299
906402060,249049.542466757
903426010,129752.264648222
905200350,156245.444922219
535353130,115614.227972908
907285040,248906.507808114
923252080,120628.147753186
909250160,104750.962777128
907135230,151619.814915281
907131120,194841.935792965
532476050,247188.025946638
905104110,140880.898429302
528104080,432538.112850095
528181070,223210.004343427
907285020,219462.086627488
534129370,149342.136683371
907401080,201438.097496295
528348030,263291.698749024
905475500,81686.6376786256
903453080,196658.9077732
903232090,149908.896621172
531363080,147670.069262881
528174030,196352.611939512
534129380,127421.003721741
528431020,239668.752969693
532376040,124515.138430156
903201020,125047.085521191
905105170,122309.600341836
533210010,175881.119539566
902201130,117317.369415211
532378220,125807.029401952
902405120,106853.693745752
907414060,186343.811663102
528222020,182696.123524735
923203190,159452.227481297
903233080,155695.617113319
531450120,199194.652369278
907181090,198194.12747876
528166150,331333.67111562
905480160,95874.4935477606
534475170,164725.400451087
914478045,147651.900546688
531371070,199503.157433264
527165170,175495.966471935
905202230,215136.782376261
909425180,216453.362453928
528315110,317851.014152631
907192130,218898.124517656
526355190,305693.567228812
909176080,153712.105521194
535353180,199256.419881981
535300040,128834.277749329
905200160,99642.5781370173
528458060,199260.872648713
907254050,201755.347695197
527163040,175988.196963259
531452260,167995.618331404
528222040,197148.771730866
923225360,93236.6460303879
535457040,129681.16540353
904100170,137082.25653244
528218060,175559.572171374
908188150,144478.344768967
534252110,129048.487073128
909281030,130604.942046286
527354050,184362.887896932
909275020,155849.462772977
907414070,185874.468752148
924151040,269752.014004782
903452025,96096.8242438552
528280130,187403.629753338
528181030,201400.28301687
533221030,174297.98053414
533208070,171190.483181879
902207120,81509.7362663698
533205110,219013.648598129
533212110,158385.587279734
923276250,147300.604505525
527183030,216521.874153556
906402200,291771.345559501
527106140,192043.12154471
535383070,118887.961081235
528174040,208072.91909498
903481130,94817.8200734629
528106010,365655.100949766
533223100,150247.235079876
528188090,168245.52706257
526353030,268365.367955099
911103060,95809.3385622375
533251120,164733.64289317
533254100,176197.540405869
909426090,128770.319479068
904352190,132697.120951518
910226040,154049.080693788
908130020,129054.007507817
528458130,316474.552967747
907251100,252350.066328375
528429050,241768.194636998
531450030,193230.775282677
535152070,139418.359052489
535402010,181396.575332783
533212020,168831.491659535
528102100,274609.555391
532376070,121531.087259426
902305090,84501.5535045418
909425085,261376.569559895
534177180,243476.460253067
526351100,166070.135672013
528150090,373349.552187765
528348010,248882.793755981
903430060,132003.725473254
534402060,146710.838290873
533206060,207299.933084116
907285010,223061.842536168
907265100,209709.761100632
535327230,104938.053083942
535103050,209671.348205967
528488140,223277.699664243
905352180,229275.653458968
528178070,344557.204641774
531479020,82821.4026742827
907201280,130028.805993535
902103090,109711.560855439
527180040,195150.266622789
902128075,106225.290731055
907290240,142073.027611501
528235190,192159.29413012
527455100,138502.323212141
533130020,242827.876213053
903476090,101793.564777724
533212010,161530.377192831
528292030,261439.567156959
535353240,165831.614994999
535475010,147001.684216101
908127120,114144.292974611
923226320,85355.7245508254
909452050,225402.973157882
905427030,292393.005027178
