"PID","Sale_Price"
908276150,84150.0527758061
903451090,137869.986188947
527110080,175489.008084115
535457010,135456.039550731
903484020,133111.902674608
905479110,117254.936666139
527452310,131216.896774877
528228445,182926.270134628
923225370,102447.480440809
528344040,319243.645548417
532377050,134980.457060119
535176050,140006.669958541
906340100,345439.90370217
533212050,160685.690887927
909428180,191869.514580738
535379110,126672.835803035
534250400,190644.904711307
527450520,101772.058935616
527452150,142568.047606247
903225040,125346.866234392
911370410,277358.660136389
905226080,165554.464695248
914467050,211970.441685134
908152260,152273.35594684
534451170,87139.6278378069
923228310,85150.2695403389
910201180,152736.290898823
534476100,135947.947349784
923225080,130115.449226754
906223210,233369.043689808
905480150,83608.8175299673
903452090,118298.613646418
527208010,369016.926623539
906426090,160337.137853238
903231090,129438.703387453
535152280,139894.290600189
528458180,231432.853139947
532354060,124834.253525732
909279040,125380.461500101
527353060,256003.568521801
916176030,153659.646220954
533110130,275651.236115556
911370450,247129.877255659
528118110,287531.03316251
528228270,189447.441759315
905480240,96180.4028790348
914460020,195196.259028382
534428060,141322.385394302
534252240,171375.262168075
908102050,113624.731819485
914475030,164241.516420815
533221040,170071.45014937
535451170,89362.3312036988
905451340,94423.7855944128
528118040,430816.818189503
903200080,188202.031655583
527162110,190492.96949347
535381040,162599.96047786
528174020,198559.6642809
534400290,163767.603732322
903206070,136027.575801343
533252130,199107.673141322
906382030,234551.140104336
535327200,135202.049871572
535455080,107765.850612566
527354160,169625.842622403
902207120,104661.534175125
909282060,206932.429337558
902109140,123991.726835278
902206270,133527.662080759
533250050,274634.712116058
909452050,230671.549587809
527212060,376658.118800528
906394060,192613.673951885
534401120,153934.216475294
528435010,216020.120124915
528315080,287837.764508095
909275030,152704.24891116
528102010,373724.447177068
907200290,148725.096204271
902300260,127476.794229412
528150110,373803.222399066
535450100,131958.425698467
907285010,221271.997075058
533253210,186333.967697078
527301280,155298.448565138
905478140,132326.280082884
902204080,96526.2753565713
907201280,141977.966942883
905476170,85986.4626916175
923228210,84687.8456239143
534226120,125860.383604612
527301170,231261.203226474
535453040,134854.491753027
535150300,215598.000753652
528363020,312936.379346526
907265100,205068.063763772
910200060,137162.195143859
532376160,128658.440009263
908204180,75646.2254129231
909282130,142868.571279124
528326110,308154.39191171
534176230,161907.512463905
527302210,215649.6151102
526355170,264963.817131215
535305180,136816.904779728
905452150,133682.982123656
902201090,124888.314482737
527452190,142088.225936696
908275280,139700.57489691
527402210,138626.768438582
921126010,327377.659405663
905109130,297640.454942662
535425070,184853.933450462
905200290,150014.260938036
533253060,137263.085247032
535179050,144913.051729971
903476100,86244.6672790548
533135020,234754.110530793
527403120,102793.536209367
528429080,260450.006038931
528354100,263667.418494148
902427150,111225.097547526
527226040,149413.023355083
924100060,176338.733830237
531452180,206616.32515229
907252050,218678.458563716
903236200,117352.374980909
910201130,120930.521651513
909100080,120548.122137473
535402010,174733.505291373
528186100,343529.8562083
905225020,193446.670486034
905201110,173367.766153124
527158090,177406.636938333
528175010,225925.157220989
902401010,116759.49212449
534251320,155262.463428497
902109120,136591.753409699
528290170,196478.021624635
534252060,135989.182323011
905475510,110698.214377408
527425060,104483.120928389
534201130,133450.133378565
526302110,113326.156828006
903430050,75819.6364844719
902110130,103731.144918536
534401110,141886.194913468
528231020,178126.126507171
531479020,71062.8489927
905403060,114725.450371534
916326010,217772.738385812
527365030,224730.375492611
528228295,189163.639484496
527455250,123311.899234304
916403040,189697.836644495
527252090,305806.18169703
908225240,103315.108437932
528228285,160579.835675323
908178050,247144.254240262
916326040,172843.287395405
